day,contest_id,player_id,display_name,team_id,section,value,draft_count,card_boost,avg_effective_multiplier,avg_score,highest_score
2026-09-17,2167,17922,Jared Goff,11,highestBoostedValuePlayers,4.98655273188637,6483,0.4,1.945519049822641,9.70143333282931,11.967726556527287
2026-09-17,2167,17922,Jared Goff,11,popularPlayers,4.98655273188637,6483,0.4,1.945519049822641,9.70143333282931,11.967726556527287
2026-09-17,2167,19070,Chuck Clark,11,popularPlayers,0.8,495,0.7,2.234343434343434,1.7874747474747403,2.16
2026-09-17,2167,19801,Josh Allen,4,highestBoostedValuePlayers,6.396533063347986,15008,0.0,1.76381929637512,11.282328447035798,12.793066126695972
2026-09-17,2167,19801,Josh Allen,4,popularPlayers,6.396533063347986,15008,0.0,1.76381929637512,11.282328447035798,12.793066126695972
2026-09-17,2167,19844,DJ Moore,4,popularPlayers,-0.03454383333333333,6819,0.1,1.6117172605953742,-0.05567489243046153,0.0
2026-09-17,2167,20766,C.J. Gardner-Johnson,4,mostCommon3xPlayers,0.2,403,3.0,4.364764267990091,0.8729528535980118,1.0
2026-09-17,2167,20850,Dawson Knox,4,highestBoostedValuePlayers,0.9692031111111111,220,3.0,4.3790909090909125,4.244228532929298,4.846015555555556
2026-09-17,2167,20850,Dawson Knox,4,mostCommon3xPlayers,0.9692031111111111,220,3.0,4.3790909090909125,4.244228532929298,4.846015555555556
2026-09-17,2167,20898,Ed Oliver,4,popularPlayers,0.0,595,0.8,2.3132773109243745,0.0,0.0
2026-09-17,2167,21001,Rock Ya-Sin,11,highestBoostedValuePlayers,1.0,143,2.8,4.148251748251746,4.148251748251746,4.8
2026-09-17,2167,21376,Jack Fox,11,highestBoostedValuePlayers,1.455729511111111,469,0.9,2.43049040511727,3.5381366092016084,4.221615582222222
2026-09-17,2167,22108,Tyler Bass,4,popularPlayers,1.0,941,0.0,1.475026567481412,1.475026567481412,2.0
2026-09-17,2167,22330,Michael Hoecht,4,highestBoostedValuePlayers,1.2218533333333332,25,3.0,4.3839999999999995,5.356605013333333,5.864895999999999
2026-09-17,2167,22587,Amon-Ra St. Brown,11,highestBoostedValuePlayers,5.734411695833333,10735,0.1,1.6744853283652077,9.602188251478603,12.042264561249999
2026-09-17,2167,22587,Amon-Ra St. Brown,11,popularPlayers,5.734411695833333,10735,0.1,1.6744853283652077,9.602188251478603,12.042264561249999
2026-09-17,2167,22613,Joshua Palmer,4,highestBoostedValuePlayers,2.2760850555555554,795,0.5,2.033710691823904,4.628898512983935,5.690212638888888
2026-09-17,2167,22613,Joshua Palmer,4,popularPlayers,2.2760850555555554,795,0.5,2.033710691823904,4.628898512983935,5.690212638888888
2026-09-17,2167,22698,Greg Rousseau,4,highestBoostedValuePlayers,2.6,745,0.0,1.5675167785234914,4.075543624161035,5.2
2026-09-17,2167,22698,Greg Rousseau,4,popularPlayers,2.6,745,0.0,1.5675167785234914,4.075543624161035,5.2
2026-09-17,2167,22710,Derrick Barnes,11,highestBoostedValuePlayers,2.1169313333333335,536,0.1,1.6257462686567135,3.4415932161691347,4.4455558
2026-09-17,2167,22710,Derrick Barnes,11,popularPlayers,2.1169313333333335,536,0.1,1.6257462686567135,3.4415932161691347,4.4455558
2026-09-17,2167,22906,Alim McNeill,11,mostCommon3xPlayers,0.2,99,3.0,4.290909090909086,0.8581818181818193,1.0
2026-09-17,2167,23141,Sam LaPorta,11,highestBoostedValuePlayers,2.255962154861111,3715,2.2,3.6142126514131663,8.153526961208579,9.475041050416666
2026-09-17,2167,23141,Sam LaPorta,11,popularPlayers,2.255962154861111,3715,2.2,3.6142126514131663,8.153526961208579,9.475041050416666
2026-09-17,2167,23200,Jahmyr Gibbs,11,highestBoostedValuePlayers,3.9813998340277776,15888,0.0,1.809982376636338,7.206263533932483,7.962799668055555
2026-09-17,2167,23200,Jahmyr Gibbs,11,popularPlayers,3.9813998340277776,15888,0.0,1.809982376636338,7.206263533932483,7.962799668055555
2026-09-17,2167,23227,Khalil Shakir,4,highestBoostedValuePlayers,1.3253181666666667,3399,2.8,4.1020888496617,5.436572873737676,6.3615272
2026-09-17,2167,23227,Khalil Shakir,4,popularPlayers,1.3253181666666667,3399,2.8,4.1020888496617,5.436572873737676,6.3615272
2026-09-17,2167,23234,Jameson Williams,11,popularPlayers,0.9555346888888888,5296,2.3,3.7226586102720183,3.557129437005647,4.108799162222222
2026-09-17,2167,23247,James Cook III,4,highestBoostedValuePlayers,5.670380888888888,13716,1.1,2.692271799358475,15.26620655877683,17.57818075555555
2026-09-17,2167,23247,James Cook III,4,popularPlayers,5.670380888888888,13716,1.1,2.692271799358475,15.26620655877683,17.57818075555555
2026-09-17,2167,23257,Aidan Hutchinson,11,popularPlayers,1.4,2983,0.7,2.2037546094535783,3.0852564532349405,3.78
2026-09-17,2167,23607,Christian Benford,4,highestBoostedValuePlayers,1.8310000000000002,99,3.0,4.3898989898989855,8.037905050505056,9.155000000000001
2026-09-17,2167,23607,Christian Benford,4,mostCommon3xPlayers,1.8310000000000002,99,3.0,4.3898989898989855,8.037905050505056,9.155000000000001
2026-09-17,2167,24102,Dalton Kincaid,4,highestBoostedValuePlayers,4.115963444444445,2988,0.0,1.5058902275769661,6.198189128052962,8.23192688888889
2026-09-17,2167,24102,Dalton Kincaid,4,popularPlayers,4.115963444444445,2988,0.0,1.5058902275769661,6.198189128052962,8.23192688888889
2026-09-17,2167,24261,Dorian Williams,4,highestBoostedValuePlayers,1.668,42,3.0,4.447619047619049,7.4186285714285685,8.34
2026-09-17,2167,24530,Jake Bates,11,highestBoostedValuePlayers,2.091927589583333,2047,1.4,2.858817782120209,5.980439792008557,7.112553804583332
2026-09-17,2167,24530,Jake Bates,11,popularPlayers,2.091927589583333,2047,1.4,2.858817782120209,5.980439792008557,7.112553804583332
2026-09-17,2167,24941,Cole Bishop,4,highestBoostedValuePlayers,1.0,34,3.0,4.417647058823531,4.417647058823531,5.0
2026-09-17,2167,24964,Keon Coleman,4,highestBoostedValuePlayers,2.2072936666666663,470,3.0,4.381276595744697,9.67076408170213,11.036468333333332
2026-09-17,2167,24964,Keon Coleman,4,popularPlayers,2.2072936666666663,470,3.0,4.381276595744697,9.67076408170213,11.036468333333332
2026-09-17,2167,24964,Keon Coleman,4,mostCommon3xPlayers,2.2072936666666663,470,3.0,4.381276595744697,9.67076408170213,11.036468333333332
2026-09-17,2167,25990,Deone Walker,4,popularPlayers,0.8690000000000001,767,1.6,3.137940026075617,2.726869882659716,3.1284000000000005
