slate_date,win_score,rank20_score,rank1_to_rank20_gap,perfect_score,our_score,sim_heuristic_score,gap_to_winner,gap_to_perfect,projection_loss,construction_loss_extra,proj_rmse,proj_bias,overlap_with_winner,chalk_picks,median_drafts,n_menu,n_with_score,our_pids,win_pids,perfect_pids,sim_pids,source,flag,ev,skip_reason
2026-05-27,59.01,54.85,4.159999999999997,73.74529873653542,55.436438978761544,55.436438978761544,3.5735610212384543,18.308859757773874,18.308859757773874,0.0,1.1947141590140422,-0.5183484760185764,0.0,1.0,294.5,34.0,34.0,"[4322744, 749, 4322900, 708, 700]","[679, 734, 636, 697, 303]","[636, 4322900, 708, 697, 700]","[4322744, 749, 4322900, 708, 700]",LIVE,skip,0.63556,
2026-05-28,53.13,49.91,3.220000000000006,60.209462266134,35.491832621633776,47.1646195822389,17.638167378366227,24.71762964450022,13.044842683895098,11.672786960605123,1.0958622429173115,0.5225996384566632,1.0,0.0,173.5,30.0,30.0,"[765, 657, 608, 4322862, 4322893]","[4322856, 184, 653, 759, 765]","[4322862, 4322797, 653, 759, 4322756]","[726, 4322862, 4322756, 765, 608]",LIVE,enter_with_caveat,1.0445200000000001,
2026-05-29,49.45,44.08,5.3700000000000045,60.888682260609585,49.31932412906529,49.31932412906529,0.13067587093470934,11.569358131544291,11.569358131544291,0.0,1.082977571418715,-0.31903499701236254,1.0,1.0,210.0,35.0,35.0,"[617, 638, 758, 4322863, 4322715]","[691, 738, 617, 622, 4322755]","[617, 622, 609, 4322863, 638]","[617, 638, 758, 4322863, 4322715]",LIVE,skip,0.6226,
2026-05-30,63.82,57.99,5.829999999999998,73.40719978326483,63.26792018627657,63.26792018627657,0.5520798137234308,10.13927959698826,10.13927959698826,0.0,1.102614347205978,-0.9771210872586028,1.0,0.0,195.0,33.0,33.0,"[599, 714, 739, 4322794, 4322756]","[599, 635, 687, 738, 762]","[687, 599, 682, 739, 635]","[599, 714, 739, 4322794, 4322756]",LIVE,skip,0.66732,
2026-06-01,51.14,45.13,6.009999999999998,68.80873737006566,50.77566660433217,50.77566660433217,0.36433339566782763,18.033070765733484,18.033070765733484,0.0,0.6462527178815399,-0.37307842270259867,0.0,0.0,206.5,28.0,28.0,"[765, 4322750, 4322855, 600, 4322792]","[654, 4322854, 4322738, 4322901, 4322904]","[4322753, 4322901, 654, 4322750, 765]","[765, 4322750, 4322855, 600, 4322792]",LIVE,enter,1.769,
2026-06-02,53.41,50.62,2.789999999999999,62.53206505097748,56.33061874672515,56.33061874672515,-2.920618746725154,6.201446304252329,6.201446304252329,0.0,0.6841072811413068,-0.6604064435593348,1.0,0.0,273.0,31.0,31.0,"[714, 708, 700, 4322864, 657]","[598, 701, 4322745, 714, 641]","[616, 641, 4322864, 657, 714]","[714, 708, 700, 4322864, 657]",LIVE,enter,2.5524,
2026-06-03,55.41,,,63.43418232905817,40.262500424603644,40.262500424603644,15.147499575396353,23.171681904454523,23.171681904454523,0.0,0.6440381522440475,0.09146801629673114,2.0,0.0,225.0,27.0,27.0,"[4322855, 4322794, 731, 758, 4322904]","[643, 4322855, 4322794, 647, 739]","[643, 647, 4322855, 668, 652]","[4322855, 4322794, 731, 758, 4322904]",LIVE,enter,1.4384000000000001,
2026-06-04,53.25,48.53,4.719999999999999,60.014862470031396,28.04736499462662,43.24174544178433,25.20263500537338,31.967497475404777,16.773117028247064,15.194380447157712,1.5254870735482324,0.5618936999703132,1.0,3.0,199.0,29.0,29.0,"[616, 4322797, 671, 657, 4322756]","[657, 4322854, 609, 366584, 603]","[4322854, 366584, 657, 626, 689]","[657, 4322793, 689, 4322862, 4322865]",LIVE,enter,1.5826,
2026-06-05,,,,,,,,,,,,,,,,,,,,,,LIVE,enter,2.2512,no menu/labels
2025-06-01,58.96,51.97,6.990000000000002,68.00288898696805,51.251815232810934,51.251815232810934,7.708184767189067,16.75107375415711,16.75107375415711,0.0,0.5838033006228645,-0.403831239881902,1.0,0.0,281.0,35.0,35.0,"[303, 757, 366584, 698, 604]","[650, 598, 172, 663, 698]","[172, 303, 698, 604, 4322748]","[303, 757, 366584, 698, 604]",SIM,sim,,
2025-06-07,58.63,44.69,13.940000000000005,61.82624598611132,41.83045921800362,41.83045921800362,16.799540781996384,19.9957867681077,19.9957867681077,0.0,1.1106010543231986,0.03415178625920938,1.0,1.0,337.0,31.0,31.0,"[712, 708, 604, 4322751, 725]","[641, 184, 712, 456, 631]","[712, 641, 184, 734, 604]","[712, 708, 604, 4322751, 725]",SIM,sim,,
2025-06-11,72.69,62.72,9.969999999999999,80.36199129169677,41.81462704914877,41.81462704914877,30.87537295085123,38.547364242548,38.547364242548,0.0,1.9291240872873905,0.11170946274757583,1.0,1.0,174.0,29.0,29.0,"[336, 723, 4322748, 603, 713]","[753, 723, 738, 597, 4322740]","[723, 597, 4322740, 622, 373]","[336, 723, 4322748, 603, 713]",SIM,sim,,
2025-06-17,53.31,48.95,4.359999999999999,72.00506087170687,62.12291831254733,62.12291831254733,-8.812918312547325,9.882142559159547,9.882142559159547,0.0,1.0823932015218858,-0.8732663718248939,1.0,0.0,233.0,36.0,36.0,"[4322755, 689, 600, 615, 603]","[637, 711, 712, 723, 4322755]","[4322755, 637, 679, 600, 615]","[4322755, 689, 600, 615, 603]",SIM,sim,,
2025-06-21,47.56,,,55.662776589836376,45.83596422192909,45.83596422192909,1.7240357780709132,9.826812367907287,9.826812367907287,0.0,0.8244862599835396,-0.16500308087341398,3.0,0.0,322.0,29.0,29.0,"[8, 700, 741, 725, 673]","[670, 8, 736, 725, 673]","[8, 670, 700, 654, 660]","[8, 700, 741, 725, 673]",SIM,sim,,
2025-06-26,53.2,45.49,7.710000000000001,51.48859948697314,42.988078930941725,42.988078930941725,10.211921069058278,8.500520556031418,8.500520556031418,0.0,0.9581005594334558,0.012176333584278831,2.0,1.0,310.0,25.0,25.0,"[729, 4322761, 698, 671, 683]","[698, 4322741, 4322761, 665, 685]","[4322761, 698, 4322741, 671, 596]","[729, 4322761, 698, 671, 683]",SIM,sim,,
