slate_date,contest_id,missing_player_id,missing_display_name,winning_rank,winning_score,mult,mult_score
2025-05-18,582,611,T. Charles,7,44.9,1.2,6.15224724533574
2025-05-18,582,611,T. Charles,11,44.25,1.6,8.20299632711432
2025-05-18,582,611,T. Charles,14,43.94,1.4,7.177621786225029
2025-05-23,602,665,S. Sutton,1,65.25,4.8,7.6179559164999375
2025-05-27,617,611,T. Charles,1,60.84,2.8,11.255632373564374
2025-05-27,617,658,A. Smith,4,57.79,2.3,8.303504780321626
2025-05-27,617,658,A. Smith,5,57.33,2.3,8.303504780321626
2025-05-27,617,708,E. Williams,6,57.3,3.3,5.1314371316082505
2025-05-27,617,708,E. Williams,7,57.15,3.3,5.1314371316082505
2025-05-27,617,658,A. Smith,8,57.11,2.3,8.303504780321626
2025-05-27,617,658,A. Smith,9,56.44,2.5,9.025548674262637
2025-05-27,617,611,T. Charles,13,55.78,2.4,9.647684891626607
2025-05-27,617,697,M. Mabrey,16,55.34,3,5.516514496402186
2025-05-27,617,689,M. Hines-Allen,17,55.34,3.4,7.4494480269784775
2025-05-27,617,611,T. Charles,19,55.21,2.6,10.451658632595493
2025-05-27,617,611,T. Charles,20,55.17,2.6,10.451658632595493
2025-05-28,623,595,S. Colson,1,45.59,4.8,5.0431520179851335
2025-05-28,623,595,S. Colson,2,45.04,4.2,4.412758015736992
2025-05-28,623,665,S. Sutton,3,44.64,4.8,5.124537720290204
2025-05-28,623,595,S. Colson,3,44.64,4.6,4.8330206839024195
2025-05-28,623,665,S. Sutton,4,44.52,5,5.338060125302295
2025-05-28,623,665,S. Sutton,13,42.31,4.8,5.124537720290204
2025-05-28,623,595,S. Colson,15,42.22,4.4,4.622889349819706
2025-05-28,623,595,S. Colson,17,42.02,4.6,4.8330206839024195
2025-05-28,623,595,S. Colson,20,41.81,4.4,4.622889349819706
2025-05-30,628,626,K. Mitchell,6,58.19,2.3,4.594408716937653
2025-05-30,628,595,S. Colson,12,56.48,4.2,2.0541435541487827
2025-05-30,628,595,S. Colson,12,56.48,4.2,2.0541435541487827
2025-05-30,628,595,S. Colson,12,56.48,4.2,2.0541435541487827
2025-05-30,628,595,S. Colson,16,56.29,4.2,2.0541435541487827
2025-05-30,628,663,B. Carleton,18,55.76,3.3,5.786647706976614
2025-05-30,628,611,T. Charles,19,55.59,2.3,1.3660282915908548
2025-05-31,632,768,T. McCowan,6,55.21,2.8,2.137542755452668
2025-06-01,635,652,N. Hiedeman,4,54.79,3.5,6.741386013035219
2025-06-01,635,603,K. Stokes,4,54.79,4.2,4.045925439234549
2025-06-01,635,763,K. Brown,5,54.07,4.2,7.508731628646196
2025-06-01,635,428,K. Laksa,6,54.0,3.8,9.335179702116676
2025-06-01,635,428,K. Laksa,6,54.0,3.8,9.335179702116676
2025-06-01,635,735,E. Magbegor,10,53.06,2.8,7.100837676952506
2025-06-01,635,735,E. Magbegor,12,52.89,3,7.6080403681634
2025-06-01,635,735,E. Magbegor,14,52.58,3.2,8.115243059374293
2025-06-01,635,681,J. Vanloo,14,52.58,4.2,4.815964937291472
2025-06-01,635,4322797,J. Salaün,17,52.16,2.5,4.318855386493265
2025-06-01,635,647,L. Fiebich,17,52.16,3.0999999999999996,7.259160699889397
2025-06-01,635,735,E. Magbegor,18,52.1,2.8,7.100837676952506
2025-06-01,635,759,V. Burton,19,52.01,2.0999999999999996,6.696956847310884
2025-06-01,635,763,K. Brown,20,51.97,4.2,7.508731628646196
2025-06-03,637,629,N. Smith,8,48.69,3.2,4.165432893217916
2025-06-03,637,629,N. Smith,14,47.43,3.2,4.165432893217916
2025-06-03,637,724,L. Yueru,16,47.14,4.4,3.8948296253988306
2025-06-03,637,629,N. Smith,17,47.08,3.4000000000000004,4.425772449044036
2025-06-05,642,4322728,M. Musa,10,45.77,4.4,5.448333913696236
2025-06-05,642,763,K. Brown,10,45.77,4.2,6.311922022964935
2025-06-07,648,4322728,M. Musa,5,47.32,4.2,8.856367666443228
2025-06-07,648,4322738,M. Akoa Makani,12,45.44,3.0999999999999996,3.100658491535967
2025-06-07,648,628,T. Fágbénlé,20,44.69,2.1,2.4305246056087895
2025-06-08,651,665,S. Sutton,2,52.68,4.6,9.143552480755764
2025-06-08,651,611,T. Charles,15,48.54,2.4,6.475847844412412
2025-06-08,651,611,T. Charles,17,48.5,2.5999999999999996,7.015501831446779
2025-06-08,651,611,T. Charles,18,48.46,2.4,6.475847844412412
2025-06-09,653,681,J. Vanloo,1,53.11,4.4,9.556465943681381
2025-06-09,653,681,J. Vanloo,4,49.9,4.4,9.556465943681381
2025-06-09,653,681,J. Vanloo,15,47.76,4.2,9.122081128059499
2025-06-09,653,681,J. Vanloo,16,47.61,4.2,9.122081128059499
2025-06-15,670,687,E. Engstler,3,52.96,4.1,4.902750625542192
2025-06-15,670,683,A. Edwards,6,52.76,4.2,2.685224148315919
2025-06-15,670,611,T. Charles,7,52.67,3.1,8.850998284311059
2025-06-15,670,611,T. Charles,11,52.15,2.3,6.566869694811431
2025-06-17,675,723,R. Jackson,1,53.31,2.5999999999999996,5.089818444338569
2025-06-17,675,622,E. Wheeler,3,51.34,2.5,6.067861249050468
2025-06-17,675,652,N. Hiedeman,3,51.34,2.7,6.515437286109122
2025-06-17,675,762,C. Leite,6,50.75,3.6,5.625295444551637
2025-06-17,675,658,A. Smith,8,50.02,2.5,7.5849020057099645
2025-06-17,675,723,R. Jackson,8,50.02,2.8,5.481342940056921
2025-06-17,675,735,E. Magbegor,9,49.91,2.4,6.075249475113151
2025-06-17,675,753,D. Carrington,9,49.91,2.4,5.072387128084599
2025-06-17,675,622,E. Wheeler,10,49.72,2.3,5.58243234912643
2025-06-17,675,697,M. Mabrey,12,49.61,1.7999999999999998,2.320394486158059
2025-06-17,675,753,D. Carrington,13,49.45,2.4,5.072387128084599
2025-06-17,675,658,A. Smith,14,49.3,2.3,6.978109845253167
2025-06-18,676,428,K. Laksa,1,45.61,3.4000000000000004,4.8822738936671435
2025-06-18,676,36,B. Hartley,6,44.42,3.9,5.635323670324581
2025-06-18,676,36,B. Hartley,7,44.19,3.5,5.057341755419496
2025-06-18,676,36,B. Hartley,12,43.29,4.3,6.213305585229666
2025-06-18,676,4322728,M. Musa,15,43.13,4.4,3.7255968733732083
2025-06-18,676,428,K. Laksa,16,42.74,3.8000000000000003,5.456659057627984
2025-06-18,676,428,K. Laksa,17,42.37,3.8000000000000003,5.456659057627984
2025-06-19,680,428,K. Laksa,1,47.99,4,9.356003321413654
2025-06-19,680,373,K. Westbeld,1,47.99,3,3.35294792322177
2025-06-19,680,428,K. Laksa,2,47.74,3.6,8.420402989272288
2025-06-19,680,428,K. Laksa,4,46.59,3.8000000000000003,8.888203155342973
2025-06-19,680,635,K. Burke,6,46.53,3.4000000000000004,3.8957336504506377
