slate_date,contest_id,missing_player_id,missing_display_name,winning_rank,winning_score,mult,mult_score
2026-05-27,1840,711,A. Stevens,2,58.09,4.6,8.091801356637163
2026-05-27,1840,711,A. Stevens,3,57.29,4.2,7.388166456060018
2026-05-27,1840,711,A. Stevens,4,56.17,4.4,7.739983906348591
2026-05-27,1840,711,A. Stevens,5,55.96,4.2,7.388166456060018
2026-05-27,1840,711,A. Stevens,5,55.96,4.2,7.388166456060018
2026-05-27,1840,711,A. Stevens,5,55.96,4.2,7.388166456060018
2026-05-27,1840,711,A. Stevens,5,55.96,4.2,7.388166456060018
2026-05-27,1840,711,A. Stevens,5,55.96,4.2,7.388166456060018
2026-05-27,1840,711,A. Stevens,11,55.54,4.6,8.091801356637163
2026-05-27,1840,711,A. Stevens,11,55.54,4.6,8.091801356637163
2026-05-27,1840,711,A. Stevens,11,55.54,4.6,8.091801356637163
2026-05-27,1840,711,A. Stevens,11,55.54,4.6,8.091801356637163
2026-05-27,1840,711,A. Stevens,11,55.54,4.6,8.091801356637163
2026-05-27,1840,711,A. Stevens,11,55.54,4.6,8.091801356637163
2026-05-29,1847,758,S. Sabally,5,47.8,4,2.5526345867734754
2026-05-29,1847,758,S. Sabally,5,47.8,4,2.5526345867734754
2026-05-29,1847,711,A. Stevens,9,46.83,4.9,3.399588249115034
2026-05-31,1855,4322799,J. Jocytė,3,51.4,4.4,3.6836764084607916
2026-05-31,1855,594,K. Bell,10,49.5,4.4,4.8874855434356
2026-06-01,1858,4322738,M. Akoa Makani,1,51.14,2.9000000000000004,4.882861211639656
2026-06-01,1858,4322738,M. Akoa Makani,9,47.31,3.3,5.556359309796849
2026-06-01,1858,4322738,M. Akoa Makani,15,46.38,2.7,4.546112162561059
2026-06-02,1861,4322864,C. McMahon,2,53.21,4.4,12.025348641048272
2026-06-02,1861,4322864,C. McMahon,3,53.03,4.2,11.478741884636987
2026-06-02,1861,711,A. Stevens,11,51.04,4.2,6.928085861461656
2026-06-03,1863,758,S. Sabally,3,54.41,4.4,7.199533040426608
2026-06-03,1863,758,S. Sabally,6,52.99,4.4,7.199533040426608
2026-06-03,1863,758,S. Sabally,7,52.85,4.4,7.199533040426608
2026-06-03,1863,758,S. Sabally,9,51.75,4.4,7.199533040426608
2026-06-03,1863,758,S. Sabally,11,51.04,4.4,7.199533040426608
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-03,1863,758,S. Sabally,12,50.56,4.2,6.872281538589035
2026-06-05,1871,711,A. Stevens,4,65.95,4.2,11.214580218425924
2026-06-05,1871,711,A. Stevens,6,64.04,4.4,11.748607847874778
2026-06-05,1871,711,A. Stevens,6,64.04,4.4,11.748607847874778
2026-06-05,1871,711,A. Stevens,6,64.04,4.4,11.748607847874778
2026-06-05,1871,711,A. Stevens,6,64.04,4.4,11.748607847874778
2026-06-06,1872,758,S. Sabally,3,49.23,4.2,6.852999821491215
