display_name,picks,mean_delta_r5,mean_r5
A. Wilson,32,-2.253669041156165,49.384375
J. Young,16,2.136827665794697,32.3875
A. Reese,14,0.5426412466817003,34.94428571428572
N. Collier,13,-1.0294999799590612,43.08923076923077
N. Howard,12,-5.457296167177379,22.733333333333334
C. Gray,12,4.189830922942968,29.671666666666667
D. Malonga,11,9.623054552787043,23.22
J. Allemand,11,4.407437652926783,21.39818181818182
V. Burton,10,10.510631413806657,27.172000000000004
P. Bueckers,10,1.843924189731236,36.226
N. Hiedeman,10,5.733940851249226,19.292
J. Shepard,9,2.1877512765012748,22.537777777777777
E. Engstler,9,4.446583690377526,19.59777777777778
L. Hull,9,3.6737793237226097,18.275555555555556
K. Cardoso,9,2.5109514030826894,28.74666666666667
N. Hillmon,9,6.571163460284056,23.468888888888888
N. Ogwumike,9,-0.9741705142484807,32.913333333333334
S. Cunningham,9,0.31954155410289864,18.135555555555555
C. Williams,9,3.1588683460581604,31.71111111111111
K. McBride,9,1.2775552337890406,25.555555555555557
N. Smith,8,-2.094867352823411,18.884999999999998
D. Bonner,8,-7.391760924912021,18.7225
A. Morrow,8,4.9440639187633355,20.6925
A. Thomas,8,1.1029948004347832,38.565
K. Charles,8,3.7833995841481114,17.71
